programa,conductor
PAGANO BOLERO,CESAR PAGANO
DEJAME SER ARTE,CARLOS 
APRENDE LA ONDA,CESAR PAGANO
AFRO ESTEREO,CHARA PALENKU
DIANA URIBE,DIANA URIBE
ONDA SONORA,FREDY CORTES
ENTRE NOSOTROS,KAREN ARRANZ
HUMO EN LA RADIO,DESCONOCIDO
LA CHICHARRA,CAMILO MAYOR
FRECUENCIA UMBRELLA,DESCONOCIDO
CITA BOLERO, FREDY CORTES
LAS 20+,BRAYAN CARDONA
LATIONOAMERICA,DESCONOCIDO
LAURA SOTELO,LAURA SOTELO
LENGUAJE ROCK,BRAYAN CARDONA
MERIADIANO MUSICAL,DESCONOCIDO
NOVENAS,DESCONOCIDO
PACIFICO AL BARRIO,ANDRES ALI LOPEZ
PALABRAS EQUIDAD,AIDIS MAGALY 
RADIO ESQUINA,DESCONOCIDO
RADIO GUAYABA,DESCONOCIDO
RADIO VILLAMAGA,DESCONOCIDO
ROCK CINEFILIA,DESCONOCIDO
SALSA GORDA,DESCONOCIDO
SALA, CAFE Y LETRAS,DESCONOCIDO
SOY DE AQUI,DESCONOCIDO
VICTORIA CON LAS ESTRELLAS,DESCONOCIDO
VIVA LA GENTE,DESCONOCIDO
VIVE VILLANCICOS,DESCONOCIDO
VOCES VIAJERAS,DESCONOCIDO
SONGOROCOSONGO,CESAR PAGANO
